"first_last","province","gender","year_of_birth","year_of_death","year","exit_year","party","gen_cohort","year_range","years_total","sessions_total","start_year","age_start"
"knight_don","Ontario","m",1942,NA,1985,1987,"Liberal","Silent","1925-1942",2,4,1985,43
"knight_ronald","Ontario","m",1932,NA,1967,1971,"Liberal","Silent","1925-1942",4,8,1967,35
"kolyn_al","Ontario","m",1932,NA,1981,1985,"Progressice Conservative","Silent","1925-1942",4,8,1981,49
"kormos_peter","Ontario","m",1952,2013,1987,2011,"CCF/NDP","Babyboom","1943-1960",24,48,1987,35
"kozyra_taras","Ontario","m",1941,NA,1987,1990,"Liberal","Silent","1925-1942",3,6,1987,46
"kramp_daryl","Ontario","m",1947,NA,2018,2024,"Progressice Conservative","Babyboom","1943-1960",6,12,2018,71
"kular_kuldip","Ontario","m",1948,NA,2003,2011,"Liberal","Babyboom","1943-1960",8,16,2003,55
"kwinter_monte","Ontario","m",1931,NA,1985,2018,"Liberal","Silent","1925-1942",33,66,1985,54
"lalonde_jeanmarc","Ontario","m",1935,NA,1995,2011,"Liberal","Silent","1925-1942",16,32,1995,60
"lalonde_mariefrance","Ontario","f",1971,NA,2014,2019,"Liberal","GenerationX","1961-1981",5,10,2014,43
"lankin_frances","Ontario","f",1954,NA,1990,2001,"CCF/NDP","Babyboom","1943-1960",11,22,1990,36
"laughren_floyd","Ontario","m",1935,NA,1971,1998,"CCF/NDP","Silent","1925-1942",27,54,1971,36
"leach_al","Ontario","m",1935,NA,1995,1999,"Progressice Conservative","Silent","1925-1942",4,8,1995,60
"leadston_gary","Ontario","m",1941,2013,1995,1999,"Progressice Conservative","Silent","1925-1942",4,8,1995,54
"leal_jeff","Ontario","m",1954,NA,2003,2018,"Liberal","Babyboom","1943-1960",15,30,2003,49
"lebourdais_lindalillian","Ontario","f",1945,NA,1987,1990,"Liberal","Babyboom","1943-1960",3,6,1987,42
"lecce_stephen","Ontario","m",1986,NA,2018,2024,"Progressice Conservative","Millenial","1982-2004",6,12,2018,32
"leluk_nick","Ontario","m",1935,1998,1971,1987,"Progressice Conservative","Silent","1925-1942",16,32,1971,36
"leone_laureano","Ontario","m",1928,NA,1987,1990,"Liberal","Silent","1925-1942",3,6,1987,59
"levac_dave","Ontario","m",1954,NA,1999,2018,"Liberal","Babyboom","1943-1960",19,38,1999,45
"lewis_stephen","Ontario","m",1937,NA,1963,1978,"CCF/NDP","Silent","1925-1942",15,30,1963,26
"lindo_laura","Ontario","f",1976,NA,2018,2024,"CCF/NDP","GenerationX","1961-1981",6,12,2018,42
"lipsett_ron","Ontario","m",1944,NA,1987,1990,"Liberal","Babyboom","1943-1960",3,6,1987,43
"lupusella_antonio","Ontario","m",1944,NA,1975,1990,"CCF/NDP","Babyboom","1943-1960",15,30,1975,31
"maccharles_tracy","Ontario","f",1963,NA,2011,2018,"Liberal","GenerationX","1961-1981",7,14,2011,48
"macdonald_keith","Ontario","m",1927,2021,1987,1990,"Liberal","Silent","1925-1942",3,6,1987,60
"mackenzie_bob","Ontario","m",1928,2011,1975,1995,"CCF/NDP","Silent","1925-1942",20,40,1975,47
"mackinnon_ellen","Ontario","f",1926,2001,1990,1995,"CCF/NDP","Silent","1925-1942",5,10,1990,64
"maclaren_jack","Ontario","m",1951,NA,2011,2018,"Progressice Conservative","Babyboom","1943-1960",7,14,2011,60
"macleod_lisa","Ontario","f",1974,NA,2003,2024,"Progressice Conservative","GenerationX","1961-1981",21,42,2003,29
"macquarrie_bob","Ontario","m",1926,2007,1981,1985,"Progressice Conservative","Silent","1925-1942",4,8,1981,55
"maeck_lorne","Ontario","m",1926,2014,1971,1981,"Progressice Conservative","Silent","1925-1942",10,20,1971,45
"mahoney_steve","Ontario","m",1947,NA,1987,1995,"Liberal","Babyboom","1943-1960",8,16,1987,40
"malhi_harinder","Ontario","f",1981,NA,2014,2018,"Liberal","GenerationX","1961-1981",4,8,2014,33
"malkowski_gary","Ontario","m",1958,NA,1990,1995,"CCF/NDP","Babyboom","1943-1960",5,10,1990,32
"mammoliti_george","Ontario","m",1961,NA,1990,1995,"CCF/NDP","GenerationX","1961-1981",5,10,1990,29
"mancini_remo","Ontario","m",1951,NA,1975,1993,"Liberal","Babyboom","1943-1960",18,36,1975,24
"mangat_amrit","Ontario","f",1953,NA,2007,2018,"Liberal","Babyboom","1943-1960",11,22,2007,54
"marchese_rosario","Ontario","m",1952,NA,1990,2014,"CCF/NDP","Babyboom","1943-1960",24,48,1990,38
"marland_margaret","Ontario","f",1934,NA,1985,2003,"Progressice Conservative","Silent","1925-1942",18,36,1985,51
"martel_elie","Ontario","m",1934,NA,1967,1987,"CCF/NDP","Silent","1925-1942",20,40,1967,33
"martel_shelley","Ontario","f",1963,NA,1987,2007,"CCF/NDP","GenerationX","1961-1981",20,40,1987,24
"martin_tony","Ontario","m",1948,NA,1990,2003,"CCF/NDP","Babyboom","1943-1960",13,26,1990,42
"martiniuk_gerry","Ontario","m",1937,2017,1995,2011,"Progressice Conservative","Silent","1925-1942",16,32,1995,58
"martow_gila","Ontario","f",1961,NA,2014,2024,"Progressice Conservative","GenerationX","1961-1981",10,20,2014,53
"mathyssen_irene","Ontario","f",1951,NA,1990,1995,"CCF/NDP","Babyboom","1943-1960",5,10,1990,39
"matrundola_gino","Ontario","m",1940,NA,1987,1990,"Liberal","Silent","1925-1942",3,6,1987,47
"matthews_deb","Ontario","f",1953,NA,2003,2018,"Liberal","Babyboom","1943-1960",15,30,2003,50
"mauro_bill","Ontario","m",1956,NA,2003,2018,"Liberal","Babyboom","1943-1960",15,30,2003,47
"maves_bart","Ontario","m",1964,NA,1995,2003,"Progressice Conservative","GenerationX","1961-1981",8,16,1995,31
"mazzilli_frank","Ontario","m",1962,NA,1999,2003,"Progressice Conservative","GenerationX","1961-1981",4,8,1999,37
"mccaffrey_bruce","Ontario","m",1938,2002,1977,1987,"Progressice Conservative","Silent","1925-1942",10,20,1977,39
"mccague_george","Ontario","m",1929,2014,1975,1990,"Progressice Conservative","Silent","1925-1942",15,30,1975,46
"mcclellan_ross","Ontario","m",1942,NA,1975,1987,"CCF/NDP","Silent","1925-1942",12,24,1975,33
"mcclelland_carman","Ontario","m",1951,NA,1987,1995,"Liberal","Babyboom","1943-1960",8,16,1987,36
"mcdonell_jim","Ontario","m",1954,NA,2011,2024,"Progressice Conservative","Babyboom","1943-1960",13,26,2011,57
"mcfadden_david","Ontario","m",1945,NA,1985,1987,"Progressice Conservative","Babyboom","1943-1960",2,4,1985,40
"mcguinty_dalton","Ontario","m",1955,NA,1990,2013,"Liberal","Babyboom","1943-1960",23,46,1990,35
"mcguinty_daltonjames","Ontario","m",1926,1990,1987,1990,"Liberal","Silent","1925-1942",3,6,1987,61
"mckenna_jane","Ontario","f",1959,NA,2011,2014,"Progressice Conservative","Babyboom","1943-1960",3,6,2011,52
"mckeough_darcy","Ontario","m",1933,NA,1963,1978,"Progressice Conservative","Silent","1925-1942",15,30,1963,30
"mckessock_bob","Ontario","m",1933,NA,1975,1987,"Liberal","Silent","1925-1942",12,24,1975,42
"mclean_allan","Ontario","m",1937,NA,1981,1999,"Progressice Conservative","Silent","1925-1942",18,36,1981,44
"mcleod_lyn","Ontario","f",1942,NA,1987,2003,"Liberal","Silent","1925-1942",16,32,1987,45
"mcmahon_eleanor","Ontario","f",1962,NA,2014,2018,"Liberal","GenerationX","1961-1981",4,8,2014,52
"mcmeekin_ted","Ontario","m",1948,NA,1999,2018,"Liberal","Babyboom","1943-1960",19,38,1999,51
"mcmurtry_roy","Ontario","m",1932,NA,1975,1985,"Progressice Conservative","Silent","1925-1942",10,20,1975,43
"mcnaughton_monte","Ontario","m",1977,NA,2011,2024,"Progressice Conservative","GenerationX","1961-1981",13,26,2011,34
"mcneely_phil","Ontario","m",1938,NA,2003,2014,"Liberal","Silent","1925-1942",11,22,2003,65
"meilleur_madeleine","Ontario","f",1948,NA,2003,2016,"Liberal","Babyboom","1943-1960",13,26,2003,55
"miclash_frank","Ontario","m",1953,NA,1987,1999,"Liberal","Babyboom","1943-1960",12,24,1987,34
"milczyn_peter","Ontario","m",1965,NA,2014,2018,"Liberal","GenerationX","1961-1981",4,8,2014,49
"miller_frank","Ontario","m",1927,2000,1971,1987,"Progressice Conservative","Silent","1925-1942",16,32,1971,44
"miller_norm","Ontario","m",1956,NA,2003,2024,"Progressice Conservative","Babyboom","1943-1960",21,42,2003,47
"miller_paul","Ontario","m",1951,NA,2007,2024,"CCF/NDP","Babyboom","1943-1960",17,34,2007,56
"milligan_rob","Ontario","m",1971,NA,2011,2014,"Progressice Conservative","GenerationX","1961-1981",3,6,2011,40
"milloy_john","Ontario","m",1955,NA,2003,2014,"Liberal","Babyboom","1943-1960",11,22,2003,48
"mills_gordon","Ontario","m",1928,2004,1990,1995,"CCF/NDP","Silent","1925-1942",5,10,1990,62
"mitchell_carol","Ontario","f",1957,NA,2003,2011,"Liberal","Babyboom","1943-1960",8,16,2003,46
"mitchell_bob","Ontario","m",1931,2007,1977,1987,"Progressice Conservative","Silent","1925-1942",10,20,1977,46
"moffat_douglas","Ontario","m",1937,NA,1975,1977,"CCF/NDP","Silent","1925-1942",2,4,1975,38
"molinari_tina","Ontario","f",1956,NA,1999,2003,"Progressice Conservative","Babyboom","1943-1960",4,8,1999,43
"moridi_reza","Ontario","m",1945,NA,2007,2018,"Liberal","Babyboom","1943-1960",11,22,2007,62
"morin_blainkevin","Ontario","m",1960,NA,1995,1999,"CCF/NDP","Babyboom","1943-1960",4,8,1995,35
"morin_gilles","Ontario","m",1931,NA,1985,1999,"Liberal","Silent","1925-1942",14,28,1985,54
"morinstrom_karl","Ontario","m",1952,NA,1985,1990,"CCF/NDP","Babyboom","1943-1960",5,10,1985,33
"morrison_suze","Ontario","f",1988,NA,2018,2024,"CCF/NDP","Millenial","1982-2004",6,12,2018,30
"morrow_mark","Ontario","m",1960,NA,1990,1995,"CCF/NDP","Babyboom","1943-1960",5,10,1990,30
"mossop_jennifer","Ontario","f",1960,NA,2003,2007,"Liberal","Babyboom","1943-1960",4,8,2003,43
"mulroney_caroline","Ontario","f",1974,NA,2018,2024,"Progressice Conservative","GenerationX","1961-1981",6,12,2018,44
"munro_julia","Ontario","f",1942,2019,1995,2018,"Progressice Conservative","Silent","1925-1942",23,46,1995,53
"munro_lily","Ontario","f",1937,2021,1985,1990,"Liberal","Silent","1925-1942",5,10,1985,48
"murdoch_bill","Ontario","m",1945,NA,1990,2011,"Progressice Conservative","Babyboom","1943-1960",21,42,1990,45
"murdock_sharon","Ontario","f",1946,NA,1990,1995,"CCF/NDP","Babyboom","1943-1960",5,10,1990,44
"murphy_tim","Ontario","m",1959,NA,1990,1995,"Liberal","Babyboom","1943-1960",5,10,1990,31
"murray_glen","Ontario","m",1957,NA,2007,2017,"Liberal","Babyboom","1943-1960",10,20,2007,50
"mushinski_marilyn","Ontario","f",1946,NA,1995,2003,"Progressice Conservative","Babyboom","1943-1960",8,16,1995,49
"naqvi_yasir","Ontario","m",1973,NA,2007,2018,"Liberal","GenerationX","1961-1981",11,22,2007,34
"natyshak_taras","Ontario","m",1977,NA,2011,2024,"CCF/NDP","GenerationX","1961-1981",13,26,2011,34
"neumann_david","Ontario","m",1941,NA,1987,1990,"Liberal","Silent","1925-1942",3,6,1987,46
"newman_dan","Ontario","m",1963,NA,1995,2003,"Progressice Conservative","GenerationX","1961-1981",8,16,1995,32
"newman_bill","Ontario","m",1928,1988,1967,1981,"Progressice Conservative","Silent","1925-1942",14,28,1967,39
"nicholas_cindy","Ontario","f",1957,2016,1987,1990,"Liberal","Babyboom","1943-1960",3,6,1987,30
"nicholls_rick","Ontario","m",1951,NA,2011,2024,"Progressice Conservative","Babyboom","1943-1960",13,26,2011,60
"nixon_brad","Ontario","m",1949,NA,1987,1990,"Liberal","Babyboom","1943-1960",3,6,1987,38
"north_peter","Ontario","m",1960,NA,1990,1999,"CCF/NDP","Babyboom","1943-1960",9,18,1990,30
"norton_keith","Ontario","m",1941,2010,1975,1985,"Progressice Conservative","Silent","1925-1942",10,20,1975,34
"oconnor_lawrence","Ontario","m",1956,NA,1990,1995,"CCF/NDP","Babyboom","1943-1960",5,10,1990,34
"oconnor_terry","Ontario","m",1940,NA,1985,1987,"Progressice Conservative","Silent","1925-1942",2,4,1985,45
"offer_steve","Ontario","m",1949,NA,1985,1995,"Liberal","Babyboom","1943-1960",10,20,1985,36
"oneil_hugh","Ontario","m",1936,2015,1975,1995,"Liberal","Silent","1925-1942",20,40,1975,39
"oneill_yvonne","Ontario","f",1936,2010,1987,1995,"Liberal","Silent","1925-1942",8,16,1987,51
"oosterhoff_sam","Ontario","m",1997,NA,2014,2024,"Progressice Conservative","Millenial","1982-2004",10,20,2014,17
"orazietti_david","Ontario","m",1968,NA,2003,2016,"Liberal","GenerationX","1961-1981",13,26,2003,35
"otoole_john","Ontario","m",1944,NA,1995,2014,"Progressice Conservative","Babyboom","1943-1960",19,38,1995,51
"ouellette_jerry","Ontario","m",1959,NA,1995,2014,"Progressice Conservative","Babyboom","1943-1960",19,38,1995,36
"owen_bruce","Ontario","m",1931,NA,1987,1990,"Liberal","Silent","1925-1942",3,6,1987,56
"owens_steve","Ontario","m",1956,2016,1990,1995,"CCF/NDP","Babyboom","1943-1960",5,10,1990,34
"palladini_al","Ontario","m",1943,2001,1995,2001,"Progressice Conservative","Babyboom","1943-1960",6,12,1995,52
"parker_john","Ontario","m",1954,NA,1995,1999,"Progressice Conservative","Babyboom","1943-1960",4,8,1995,41
"parrott_harry","Ontario","m",1925,2019,1971,1981,"Progressice Conservative","Silent","1925-1942",10,20,1971,46
"parsons_ernie","Ontario","m",1946,NA,1999,2007,"Liberal","Babyboom","1943-1960",8,16,1999,53
"partington_peter","Ontario","m",1939,NA,1985,1987,"Progressice Conservative","Silent","1925-1942",2,4,1985,46
"paterson_donald","Ontario","m",1926,1999,1963,1975,"Liberal","Silent","1925-1942",12,24,1963,37
"peacock_hugh","Ontario","m",1938,NA,1967,1971,"CCF/NDP","Silent","1925-1942",4,8,1967,29
"pelissero_harry","Ontario","m",1952,NA,1987,1990,"Liberal","Babyboom","1943-1960",3,6,1987,35
"pendergast_leeanna","Ontario","f",1962,NA,2007,2011,"Liberal","GenerationX","1961-1981",4,8,2007,45
"perruzza_anthony","Ontario","m",1959,NA,1990,1995,"CCF/NDP","Babyboom","1943-1960",5,10,1990,31
"peters_steve","Ontario","m",1963,NA,1999,2011,"Liberal","GenerationX","1961-1981",12,24,1999,36
"peterson_david","Ontario","m",1943,NA,1975,1990,"Liberal","Babyboom","1943-1960",15,30,1975,32
"peterson_tim","Ontario","m",1947,NA,2003,2007,"Liberal","Babyboom","1943-1960",4,8,2003,56
"pettapiece_randy","Ontario","m",1949,NA,2011,2024,"Progressice Conservative","Babyboom","1943-1960",13,26,2011,62
"pettit_trevor","Ontario","m",1951,NA,1995,1999,"Progressice Conservative","Babyboom","1943-1960",4,8,1995,44
"philip_ed","Ontario","m",1940,NA,1975,1995,"CCF/NDP","Silent","1925-1942",20,40,1975,35
"phillips_gerry","Ontario","m",1940,NA,1987,2011,"Liberal","Silent","1925-1942",24,48,1987,47
"phillips_rod","Ontario","m",1965,NA,2018,2024,"Progressice Conservative","GenerationX","1961-1981",6,12,2018,53
"piccini_david","Ontario","m",1988,NA,2018,2024,"Progressice Conservative","Millenial","1982-2004",6,12,2018,30
"piche_rene","Ontario","m",1931,2011,1981,1985,"Progressice Conservative","Silent","1925-1942",4,8,1981,50
"pierce_jack","Ontario","m",1937,NA,1985,1987,"Progressice Conservative","Silent","1925-1942",2,4,1985,48
"pilkey_allan","Ontario","m",1945,NA,1990,1995,"CCF/NDP","Babyboom","1943-1960",5,10,1990,45
"piruzza_teresa","Ontario","f",1968,NA,2011,2014,"Liberal","GenerationX","1961-1981",3,6,2011,43
"pitman_walter","Ontario","m",1929,2018,1967,1971,"CCF/NDP","Silent","1925-1942",4,8,1967,38
"poirier_jean","Ontario","m",1950,NA,1981,1995,"Liberal","Babyboom","1943-1960",14,28,1981,31
"pollock_jim","Ontario","m",1930,NA,1981,1990,"Progressice Conservative","Silent","1925-1942",9,18,1981,51
"polsinelli_claudio","Ontario","m",1952,NA,1985,1990,"Liberal","Babyboom","1943-1960",5,10,1985,33
"poole_dianne","Ontario","f",1949,NA,1987,1995,"Liberal","Babyboom","1943-1960",8,16,1987,38
"pope_alan","Ontario","m",1945,NA,1977,1990,"Progressice Conservative","Babyboom","1943-1960",13,26,1977,32
"potts_arthur","Ontario","m",1957,NA,2014,2018,"Liberal","Babyboom","1943-1960",4,8,2014,57
"pouliot_gilles","Ontario","m",1942,NA,1985,1999,"CCF/NDP","Silent","1925-1942",14,28,1985,43
"preston_peter","Ontario","m",1935,2016,1995,1999,"Progressice Conservative","Silent","1925-1942",4,8,1995,60
"prue_michael","Ontario","m",1948,NA,1999,2014,"CCF/NDP","Babyboom","1943-1960",15,30,1999,51
"pupatello_sandra","Ontario","f",1962,NA,1995,2011,"Liberal","GenerationX","1961-1981",16,32,1995,33
"qaadri_shafiq","Ontario","m",1963,NA,2003,2018,"Liberal","GenerationX","1961-1981",15,30,2003,40
"racco_mario","Ontario","m",1955,NA,2003,2007,"Liberal","Babyboom","1943-1960",4,8,2003,48
"rae_bob","Ontario","m",1948,NA,1981,1999,"CCF/NDP","Babyboom","1943-1960",18,36,1981,33
"ramal_khalil","Ontario","m",1960,NA,2003,2011,"Liberal","Babyboom","1943-1960",8,16,2003,43
"ramsay_david","Ontario","m",1948,2020,1985,2011,"CCF/NDP","Babyboom","1943-1960",26,52,1985,37
"ramsay_russ","Ontario","m",1928,2003,1977,1985,"Progressice Conservative","Silent","1925-1942",8,16,1977,49
"rasheed_kaleed","Ontario","m",1982,NA,2018,2024,"Progressice Conservative","Millenial","1982-2004",6,12,2018,36
"ray_mike","Ontario","m",1936,NA,1987,1990,"Liberal","Silent","1925-1942",3,6,1987,51
"reed_julian","Ontario","m",1936,NA,1975,1985,"Liberal","Silent","1925-1942",10,20,1975,39
"reid_thomas","Ontario","m",1943,NA,1967,1985,"Liberal Labour","Babyboom","1943-1960",18,36,1967,24
"reid_tim","Ontario","m",1936,NA,1967,1971,"Liberal","Silent","1925-1942",4,8,1967,31
"reville_david","Ontario","m",1943,NA,1985,1990,"CCF/NDP","Babyboom","1943-1960",5,10,1985,42
"reycraft_doug","Ontario","m",1943,NA,1985,1990,"Liberal","Babyboom","1943-1960",5,10,1985,42
"rhodes_john","Ontario","m",1929,1978,1971,1978,"Progressice Conservative","Silent","1925-1942",7,14,1971,42
"rickford_greg","Ontario","m",1967,NA,2018,2024,"Progressice Conservative","GenerationX","1961-1981",6,12,2018,51
"riddell_jack","Ontario","m",1931,NA,1971,1990,"Liberal","Silent","1925-1942",19,38,1971,40
"rizzo_tony","Ontario","m",1940,NA,1990,1995,"CCF/NDP","Silent","1925-1942",5,10,1990,50
"roberts_jeremy","Ontario","m",1991,NA,2018,2024,"Progressice Conservative","Millenial","1982-2004",6,12,2018,27
"roberts_marietta","Ontario","f",1943,2020,1987,1990,"Liberal","Babyboom","1943-1960",3,6,1987,44
"robinson_alan","Ontario","m",1948,2013,1981,1985,"Progressice Conservative","Babyboom","1943-1960",4,8,1981,33
"rollins_doug","Ontario","m",1938,2012,1995,1999,"Progressice Conservative","Silent","1925-1942",4,8,1995,57
"romano_ross","Ontario","m",1979,NA,2014,2024,"Progressice Conservative","GenerationX","1961-1981",10,20,2014,35
"ross_lillian","Ontario","f",1944,NA,1995,1999,"Progressice Conservative","Babyboom","1943-1960",4,8,1995,51
"rotenberg_david","Ontario","m",1930,NA,1977,1985,"Progressice Conservative","Silent","1925-1942",8,16,1977,47
"rowe_earle","Ontario","m",1951,NA,1985,1987,"Progressice Conservative","Babyboom","1943-1960",2,4,1985,34
"roy_albert","Ontario","m",1939,NA,1971,1984,"Liberal","Silent","1925-1942",13,26,1971,32
"runciman_bob","Ontario","m",1942,NA,1981,2010,"Progressice Conservative","Silent","1925-1942",29,58,1981,39
"ruprecht_tony","Ontario","m",1942,NA,1981,2011,"Liberal","Silent","1925-1942",30,60,1981,39
"samis_george","Ontario","m",1943,NA,1971,1985,"CCF/NDP","Babyboom","1943-1960",14,28,1971,28
"sampson_rob","Ontario","m",1965,NA,1995,2003,"Progressice Conservative","GenerationX","1961-1981",8,16,1995,30
"sandals_liz","Ontario","f",1947,NA,2003,2018,"Liberal","Babyboom","1943-1960",15,30,2003,56
"sandeman_gill","Ontario","f",1937,NA,1975,1977,"CCF/NDP","Silent","1925-1942",2,4,1975,38
"sarkaria_prabmeet","Ontario","m",1988,NA,2018,2024,"Progressice Conservative","Millenial","1982-2004",6,12,2018,30
"sattler_peggy","Ontario","f",1962,NA,2011,2024,"CCF/NDP","GenerationX","1961-1981",13,26,2011,49
"saunderson_bill","Ontario","m",1933,NA,1995,1999,"Progressice Conservative","Silent","1925-1942",4,8,1995,62
"savoline_joyce","Ontario","f",1946,NA,2007,2011,"Progressice Conservative","Babyboom","1943-1960",4,8,2007,61
"schein_jonah","Ontario","m",1974,NA,2011,2014,"CCF/NDP","GenerationX","1961-1981",3,6,2011,37
"schreiner_mike","Ontario","m",1969,NA,2018,2024,"Green Party","GenerationX","1961-1981",6,12,2018,49
"scott_ian","Ontario","m",1934,2006,1985,1992,"Liberal","Silent","1925-1942",7,14,1985,51
"scott_laurie","Ontario","f",1962,NA,2003,2024,"Progressice Conservative","GenerationX","1961-1981",21,42,2003,41
"sergio_mario","Ontario","m",1940,NA,1995,2018,"Liberal","Silent","1925-1942",23,46,1995,55
"shaw_sandy","Ontario","f",1960,NA,2018,2024,"CCF/NDP","Babyboom","1943-1960",6,12,2018,58
"shea_derwyn","Ontario","m",1937,2015,1995,1999,"Progressice Conservative","Silent","1925-1942",4,8,1995,58
"sheehan_frank","Ontario","m",1933,2013,1995,1999,"Progressice Conservative","Silent","1925-1942",4,8,1995,62
"sheppard_howard","Ontario","m",1933,2013,1981,1987,"Progressice Conservative","Silent","1925-1942",6,12,1981,48
"shore_marv","Ontario","m",1929,2019,1975,1977,"Liberal","Silent","1925-1942",2,4,1975,46
"shulman_morton","Ontario","m",1925,2000,1967,1975,"CCF/NDP","Silent","1925-1942",8,16,1967,42
"shurman_peter","Ontario","m",1947,NA,2007,2013,"Progressice Conservative","Babyboom","1943-1960",6,12,2007,60
"shymko_yuri","Ontario","m",1940,NA,1981,1987,"Progressice Conservative","Silent","1925-1942",6,12,1981,41
"silipo_tony","Ontario","m",1957,2012,1990,1999,"CCF/NDP","Babyboom","1943-1960",9,18,1990,33
"simard_amanda","Ontario","f",1989,NA,2018,2024,"Progressice Conservative","Millenial","1982-2004",6,12,2018,29
"singh_gurratan","Ontario","m",1984,NA,2018,2024,"CCF/NDP","Millenial","1982-2004",6,12,2018,34
"singh_jagmeet","Ontario","m",1979,NA,2011,2017,"CCF/NDP","GenerationX","1961-1981",6,12,2011,32
"singh_sara","Ontario","f",1985,NA,2018,2024,"CCF/NDP","Millenial","1982-2004",6,12,2018,33
"skarica_toni","Ontario","m",1954,NA,1995,2000,"Progressice Conservative","Babyboom","1943-1960",5,10,1995,41
"skelly_donna","Ontario","f",1961,NA,2018,2024,"Progressice Conservative","GenerationX","1961-1981",6,12,2018,57
"sloat_ann","Ontario","f",1928,2017,1981,1985,"Progressice Conservative","Silent","1925-1942",4,8,1981,53
"smith_dave","Ontario","m",1970,NA,2018,2024,"Progressice Conservative","GenerationX","1961-1981",6,12,2018,48
"smith_davidwilliam","Ontario","m",1938,NA,1985,1990,"Liberal","Silent","1925-1942",5,10,1985,47
"smith_joan","Ontario","f",1928,2016,1985,1990,"Liberal","Silent","1925-1942",5,10,1985,57
"smith_johnroxborough","Ontario","m",1936,2018,1967,1977,"Progressice Conservative","Silent","1925-1942",10,20,1967,31
"smith_monique","Ontario","f",1965,NA,2003,2011,"Liberal","GenerationX","1961-1981",8,16,2003,38
"smith_richardstanley","Ontario","m",1931,1978,1963,1977,"Liberal","Silent","1925-1942",14,28,1963,32
"smith_stuart","Ontario","m",1938,2020,1975,1982,"Liberal","Silent","1925-1942",7,14,1975,37
"smith_todd","Ontario","m",1970,NA,2011,2024,"Progressice Conservative","GenerationX","1961-1981",13,26,2011,41
"smitherman_george","Ontario","m",1964,NA,1999,2010,"Liberal","GenerationX","1961-1981",11,22,1999,35
"snobelen_john","Ontario","m",1954,NA,1995,2003,"Progressice Conservative","Babyboom","1943-1960",8,16,1995,41
"snow_james","Ontario","m",1929,2008,1967,1985,"Progressice Conservative","Silent","1925-1942",18,36,1967,38
"sola_john","Ontario","m",1944,NA,1987,1995,"Liberal","Babyboom","1943-1960",8,16,1987,43
"sousa_charles","Ontario","m",1958,NA,2007,2018,"Liberal","Babyboom","1943-1960",11,22,2007,49
"south_larry","Ontario","m",1925,NA,1985,1990,"Liberal","Silent","1925-1942",5,10,1985,60
"spensieri_mike","Ontario","m",1949,2013,1981,1985,"Liberal","Babyboom","1943-1960",4,8,1981,32
"spina_joe","Ontario","m",1946,NA,1995,2003,"Progressice Conservative","Babyboom","1943-1960",8,16,1995,49
"sterling_norman","Ontario","m",1942,NA,1977,2011,"Progressice Conservative","Silent","1925-1942",34,68,1977,35
"stevenson_ross","Ontario","m",1942,NA,1981,1987,"Progressice Conservative","Silent","1925-1942",6,12,1981,39
"stewart_gary","Ontario","m",1938,NA,1995,2003,"Progressice Conservative","Silent","1925-1942",8,16,1995,57
"stiles_marit","Ontario","f",1969,NA,2018,2024,"CCF/NDP","GenerationX","1961-1981",6,12,2018,49
"stockwell_chris","Ontario","m",1957,2018,1990,2003,"Progressice Conservative","Babyboom","1943-1960",13,26,1990,33
"stoner_norah","Ontario","f",1945,NA,1987,1990,"Liberal","Babyboom","1943-1960",3,6,1987,42
"strong_alf","Ontario","m",1940,NA,1975,1981,"Liberal","Silent","1925-1942",6,12,1975,35
"sullivan_barbara","Ontario","f",1943,2021,1987,1995,"Liberal","Babyboom","1943-1960",8,16,1987,44
"sutherland_kimble","Ontario","m",1966,NA,1990,1995,"CCF/NDP","GenerationX","1961-1981",5,10,1990,24
"swarbrick_anne","Ontario","f",1952,NA,1990,1995,"CCF/NDP","Babyboom","1943-1960",5,10,1990,38
"sweeney_john","Ontario","m",1931,2001,1975,1990,"Liberal","Silent","1925-1942",15,30,1975,44
"tabuns_peter","Ontario","m",1951,NA,2003,2024,"CCF/NDP","Babyboom","1943-1960",21,42,2003,52
"takhar_harinder","Ontario","m",1951,NA,2003,2018,"Liberal","Babyboom","1943-1960",15,30,2003,52
"tascona_joe","Ontario","m",1951,NA,1995,2007,"Progressice Conservative","Babyboom","1943-1960",12,24,1995,44
"tatham_charlie","Ontario","m",1925,2016,1987,1990,"Liberal","Silent","1925-1942",3,6,1987,62
"taylor_george","Ontario","m",1937,NA,1977,1985,"Progressice Conservative","Silent","1925-1942",8,16,1977,40
"taylor_james","Ontario","m",1928,2020,1971,1987,"Progressice Conservative","Silent","1925-1942",16,32,1971,43
"taylor_monique","Ontario","f",1972,NA,2011,2024,"CCF/NDP","GenerationX","1961-1981",13,26,2011,39
"taylor_paulfrederick","Ontario","m",1939,NA,1971,1975,"Liberal","Silent","1925-1942",4,8,1971,32
"thanigasalam_vijay","Ontario","m",1989,NA,2018,2024,"Progressice Conservative","Millenial","1982-2004",6,12,2018,29
"thibeault_glenn","Ontario","m",1969,NA,2014,2018,"Liberal","GenerationX","1961-1981",4,8,2014,45
"thompson_lisa","Ontario","f",1965,NA,2011,2024,"Progressice Conservative","GenerationX","1961-1981",13,26,2011,46
"tibollo_michael","Ontario","m",1960,NA,2018,2024,"Progressice Conservative","Babyboom","1943-1960",6,12,2018,58
